    0.0100000       44.559403
    0.0200000       89.801474
    0.0500000       229.59770
     0.100000       476.01087
     0.150000       738.95303
     0.200000       1018.1666
     0.250000       1313.4178
     0.300000       1624.4909
     0.350000       1951.1846
     0.400000       2293.3092
     0.450000       2650.6821
     0.500000       3023.1276
     0.550000       3410.4740
     0.600000       3812.5528
     0.650000       4229.1965
     0.700000       4660.2399
     0.750000       5105.5199
     0.800000       5564.8711
     0.850000       6038.1312
     0.900000       6525.1360
     0.950000       7025.7237
      1.00000       7539.7327
      1.20000       9726.7587
      1.40000       12115.764
      1.60000       14696.894
      1.80000       17460.727
      2.00000       20398.333
      2.20000       23501.321
      2.40000       26761.829
      2.60000       30172.510
      2.80000       33726.511
      3.00000       37417.446
      3.20000       41239.339
      3.40000       45186.636
      3.60000       49254.119
      3.80000       53436.953
      4.00000       57730.567
      4.20000       62130.694
      4.40000       66633.348
      4.60000       71234.742
      4.80000       75931.346
      5.00000       80719.826
      5.20000       85597.026
      5.40000       90560.002
      5.60000       95605.893
      5.80000       100732.11
      6.00000       105936.06
      6.20000       111215.38
      6.40000       116567.85
      6.60000       121991.23
      6.80000       127483.50
      7.00000       133042.72
      7.20000       138667.01
      7.40000       144354.59
      7.60000       150103.77
      7.80000       155912.92
      8.00000       161780.45
      8.20000       167704.94
      8.40000       173684.89
      8.60000       179719.06
      8.80000       185806.02
      9.00000       191944.50
      9.20000       198133.38
      9.40000       204371.41
      9.60000       210657.64
      9.80000       216990.81
      10.0000       223369.90
